window_idx,start_index,transition_structure_cosine,transition_structure_pearson,transition_delta_cosine,transition_delta_pearson,transfer_mse,transfer_mae,persistence_mse,persistence_mae,transfer_skill,random_mse,random_mae,random_skill,oracle_bc_fit_mse,retrieved_state_similarity,retrieved_window_idx,retrieved_mse,retrieved_mae,retrieved_skill
397,4764,0.4673231621464329,0.6257917801481631,-0.30610236645792205,-0.2976380344256925,0.09869063938431558,0.2574193958405016,0.08292848715464535,0.21761874432060838,-0.19006921228741236,0.12644853108132126,0.29587604129668327,-0.5247900380181731,0.056108640698075314,0.7398288066360055,225.0,0.13392335662958485,0.30427236799217194,-0.6149258382085769
398,4776,0.33056352460268085,0.45626314762447573,-0.3094042975565199,-0.17736845766184914,0.10156581270847144,0.2567422715632651,0.07791705002619483,0.20562390083597296,-0.3035120384347991,13.616228473263426,3.6772024132430032,-173.7528746107021,0.03211267273114328,0.7792729885511527,260.0,1.4232937264419745,1.1476938946496598,-17.266781480606355
399,4788,-0.0135315095205594,0.08114853654006934,-0.3551011739305547,-0.1295551317204719,0.11282198261561385,0.25764487246479145,0.08173302902177046,0.21744054027885729,-0.38037197404690004,0.2094976840940523,0.41124600555369106,-1.5631949115485537,0.029749835705143817,0.853686883012678,261.0,1.9957175666890747,1.358543309188056,-23.417516279220415
400,4800,-0.17845796807365655,-0.12149424444460159,-0.35475662348808895,0.05581194599426401,0.1673272884964897,0.34482679919805015,0.1306240269654865,0.2938249860629269,-0.280983999526373,6.079744434831736,2.451424450354246,-45.54384477396434,0.043073610753849384,0.8609088843823273,262.0,2.3281094217871936,1.4706147296486247,-16.82298001272252
401,4812,-0.37479927355109266,-0.3319745852173042,-0.3125125100415229,0.21525699807683374,0.2553967010810736,0.4173863895552558,0.18882942388469012,0.35371075069591323,-0.3525259772917233,3.365680983971526,1.809998091800151,-16.823922324874538,0.06784062295445038,0.8791920020317595,263.0,2.1499677829893797,1.4100891742992363,-10.385766787607588
402,4824,-0.0283065219698396,-0.0031149286217292955,-0.31582389409171424,-0.11848631284120795,0.2178702650127523,0.3769408274231111,0.21089616175161063,0.3838337596817507,-0.03306889610136965,0.5238774117486047,0.6343207417359147,-1.4840537987866145,0.10448744577298526,0.7814138323358041,6.0,4.9115020990698985,2.189401993860108,-22.2887220814126
403,4836,0.3291959043720499,0.2958840210594772,-0.49010728100652334,-0.4357229268687724,0.2128137681880621,0.3701555089328338,0.22644479630475353,0.40142090205751835,0.060195810807445294,0.23053488519008028,0.42780233111440463,-0.018062189779014526,0.09738862278620228,0.8756693127853301,7.0,0.5366820201729613,0.6285420601931228,-1.3700346792278895
404,4848,0.4768155090477593,0.552069264280312,-0.6775263531310494,-0.6770430388326931,0.31351651371363815,0.4765890571056947,0.281078147038654,0.4481361819765743,-0.1154069322597433,0.10497857657265385,0.2489030562712183,0.6265146270577302,0.07140461943571433,0.9032663395379062,8.0,0.33376803767636565,0.48066846478869635,-0.1874563753633458
405,4860,0.1221306085654299,0.3711153355038267,-0.7463268398979244,-0.7368544318032346,0.586793625019525,0.677545301926255,0.31291961930355117,0.4845745592192741,-0.8752215866985935,7.817808307997404,2.769046128656235,-23.983439278742225,0.06788963455794979,0.8355217658585504,285.0,0.20715998704678648,0.4065951247375473,0.33797699387513114
406,4872,0.23927288715875514,0.4369354540408797,-0.7595639051546732,-0.7458412965045417,0.5816342047724751,0.6976071646343588,0.3166940006917636,0.4924232602727596,-0.8365810640618234,2.288036404364499,1.4470999127388222,-6.224754492875384,0.05341779672958393,0.7693568058409159,294.0,0.5766253026440554,0.6909912582530533,-0.8207648436172348
