window_idx,start_index,coef_cosine_similarity,coef_pearson_similarity,transfer_mse,transfer_mae,random_mse,random_mae,persistence_mse,persistence_mae,transfer_skill,random_skill,retrieved_state_similarity,retrieved_mse,retrieved_mae,retrieved_skill
449,5388,0.8725374070806511,0.8686975384082157,0.37948510737806673,0.5232363522723958,0.23318475737390165,0.39648839847690215,0.26450866700507664,0.46051326574620594,-0.4346792930259007,0.11842299908673237,0.867803951655506,0.269041328349381,0.46324815618374626,-0.01713615434845983
450,5400,0.8966240550097161,0.891329268165799,0.4767714970246842,0.5996700313314923,3.9673740807439493,1.8911077344847342,0.3300181106241326,0.520338931340751,-0.44468282702125195,-11.021685940934644,0.8111454398605618,0.3469057612740305,0.5302251127680496,-0.05117189059097349
451,5412,0.9087171954462547,0.9040151973647433,0.539726062678637,0.6703157184579918,9.711291633438748,3.067884207220363,0.8368231119618663,0.8241860177481426,0.35502968911399746,-10.604951506025431,0.8749048486149206,3.8026546682394184,1.8549045291828545,-3.5441558841801015
452,5424,0.8917130457402048,0.885512615456009,0.5809741433605381,0.6988442789526784,1.3564555749845024,1.1003651224672888,1.146294125863397,1.0030704003006663,0.49317183936283004,-0.18333989887875446,0.8372622957810262,3.946291491742276,1.915322825973188,-2.4426517616234844
453,5436,0.8984164579547709,0.894276278618405,0.4173031530531819,0.5478362658507999,0.5716518860632113,0.672933628910538,0.11763811725375391,0.3032806352974402,-2.547346411138397,-3.859410362970336,0.7289748243813374,3.809268789672599,1.8753836458843498,-31.381245795151003
454,5448,0.8541866834018722,0.8455388367475113,0.3077418252198361,0.4601676288781542,1.0171196092456116,0.9230533375014175,0.20304314760836428,0.3483244116626601,-0.5156474318129554,-4.009376682868719,0.7496631571460263,1.6799064143761762,1.2309091558385206,-7.2736424950249
455,5460,0.8500200490510463,0.8410419505054992,0.16367979209481354,0.3184990541601346,1.6761582879752837,1.234220561486133,0.29685703434199406,0.4406515952244403,0.4486241754128478,-4.646348558627269,0.8689451046898448,2.0932154890558814,1.2344681878420574,-6.051257834248903
456,5472,0.8464074126394273,0.839431586042338,0.16926757747250595,0.348342948311913,1.5673096554269137,1.0817446574111036,0.5783478900478558,0.6503325537630011,0.7073256764911864,-1.7099773032754135,0.8817406153759395,0.8020882734328442,0.8005749724206345,-0.38686124257577004
457,5484,0.7230324882279102,0.7108088123769959,0.2791826439289888,0.46490052595455483,0.22337726426638685,0.38061461140446123,0.6339931031113136,0.7188591170131189,0.5596440362538595,0.6476660973594734,0.9155729121462962,0.09417247337942132,0.25367555026191807,0.8514613598834577
458,5496,0.844679364936985,0.8363996680518947,0.40758148293946167,0.5890284461462335,2.456538817790059,1.5430466899966264,0.3846599245611945,0.5723922129792275,-0.059589151129832985,-5.386261372541955,0.9074634502180209,0.17042795260644858,0.3559799174392249,0.5569386314395337
459,5508,0.8178534977426634,0.8076056773205779,0.49196240368582184,0.673611580480327,0.35966646513392647,0.5700374638541782,0.3300239931074752,0.5485631966298854,-0.49068678023542955,-0.08981914238216593,0.8978420081353427,0.226490126311323,0.44840825775411747,0.3137161811215208
460,5520,0.8591376279921231,0.8512159858384343,0.5191235610394206,0.6924233294583226,0.40086358235712094,0.6036379782754505,0.12013616158711633,0.30152347485636005,-3.3211265798847744,-2.336743716973478,0.8174864536889793,0.3246779731702822,0.535057410113548,-1.702583209592917
461,5532,0.8672951879743946,0.8618473422319691,0.0348086832066985,0.15296146572874544,0.038677987105553306,0.16661690126889803,0.058103793171197314,0.20050893721614535,0.4009223614000894,0.33432939581771737,0.8678495534543752,0.09956497621090539,0.25366653710984377,-0.7135710213883393
462,5544,0.7422627682699862,0.7343115740529085,0.15127236562607135,0.31248524304633896,4.459806255047333,2.0152382101752973,0.05289565550760814,0.19045610319646022,-1.85982590015003,-83.31328078363384,0.930334884514258,0.05998446813270041,0.19079728569129864,-0.13401502556429534
463,5556,0.7965202681472395,0.7944586311349883,0.07551959085028409,0.2128420170460786,0.2610139288457663,0.45623947270319154,0.04231081466921649,0.16953874963640914,-0.7848767848289355,-5.168964858898562,0.9189948900142325,0.1950464911803563,0.3817805364801736,-3.6098495787712555
464,5568,0.865195375716328,0.8625906570283709,0.1039972036529611,0.25959686727215403,0.16950732881842426,0.3337759234035132,0.044851835159410526,0.17951669861041095,-1.3186833556160762,-2.7792729821637927,0.9514581472873476,0.30461553511993056,0.4789834649908033,-5.791595796187128
465,5580,0.7789567026101749,0.7647276232135573,0.09332701779370271,0.2501688331046081,5.862056661193986,2.371704945060251,0.10362440498265178,0.26904686687875157,0.09937222018956826,-55.57023229397919,0.934067106081122,0.555276236288924,0.680602360718729,-4.358546921276751
466,5592,0.8926935997124643,0.8848443322269087,0.08699314551440973,0.25154376392497746,0.16728929169147203,0.35037050781204887,0.0735294034846503,0.23436586298097825,-0.18310691222416997,-1.275134623204099,0.9315555476724869,1.6403259178441196,1.2268516227606452,-21.30843499480514
467,5604,0.8740195374206423,0.8650954637593584,0.06879969344551706,0.2345985042966757,0.1743070494352487,0.3533720060673986,0.06250614044383973,0.21696860616975142,-0.1006869558252752,-1.7886388152834263,0.8481757319041783,0.8223519013684281,0.8527824051193683,-12.156337849835595
468,5616,0.9374468019344322,0.9338560512343823,0.06689618475467386,0.22814176731753796,7.495634998000713,2.640206553582163,0.060731057800286294,0.20091875351510116,-0.1015152242969577,-122.42342237229035,0.8359215692682089,3.545797565141514,1.7588046800446007,-57.3852429641823
469,5628,0.9153072383767388,0.9130568689086372,0.058125687958168866,0.19784520388923296,0.05711754272347317,0.2082937417973673,0.05869287653220398,0.21297515276990467,0.009663669725301416,0.026840289687734886,0.8398945803698941,9.404105405374194,2.5045418642421615,-159.22566895685014
470,5640,0.8366948063414771,0.8350396805712054,0.08562041836908003,0.23372171874157946,7.863599465141587,2.749074145761817,0.16814267524269347,0.3480156293219401,0.4907871053823939,-45.76742209431032,0.8631779801933931,7.367323471266308,2.4851282192123954,-42.815904919036605
471,5652,0.7835262493134223,0.7846091173581098,0.08312854178254876,0.2326459102276773,0.13675050215308246,0.29833382663389474,0.061071508146319675,0.19924327450269672,-0.36116733163659887,-1.2391865913225102,0.7621118799523242,8.365630690619088,2.4709732213922533,-135.98090884829773
472,5664,0.8090062950521015,0.8046128022047986,0.056223802313784405,0.19606633230338458,0.6321407696566957,0.758517102103936,0.15270277795778828,0.33297379645764097,0.6318089096628852,-3.1396808762145687,0.7874484964867923,3.608452896997975,1.867059756108415,-22.63056484797848
